name,online_order,book_table,rate,votes,location,rest_type,dish_liked,cuisines,approx_cost(for two people),listed_in(type),listed_in(city)
K27 - The Pub,No,No,3.1/5,30,Banashankari,Bar,,"Chinese, North Indian",1000,Delivery,Banashankari
Bengaluru Coffee House,Yes,No,4.1/5,201,Banashankari,Quick Bites,"Masala Dosa, Tirupathi Pongal, Filter Coffee, Vada, Kharabath, Kali Dosa, Rava Idli","South Indian, North Indian, Chinese, Street Food",300,Delivery,Banashankari
New Mangalore Lunch Home,No,No,3.3/5,7,Banashankari,Quick Bites,,"Mangalorean, South Indian, North Indian",200,Delivery,Banashankari
Coffee Bytes,No,No,3.1/5,6,Banashankari,Quick Bites,,"Fast Food, South Indian",100,Delivery,Banashankari
Parjanya Chat Zone,No,No,3.3/5,17,Banashankari,Quick Bites,,"Street Food, Fast Food",200,Delivery,Banashankari
Kwality Wall's Swirl's Happiness Station,No,No,2.9/5,25,Banashankari,Dessert Parlor,,"Ice Cream, Desserts",200,Delivery,Banashankari
Soms Kitchen & Bakes,No,No,,0,Banashankari,Delivery,,"South Indian, North Indian, Continental",400,Delivery,Banashankari
Banashankari Nati Style,No,No,,0,Banashankari,Quick Bites,,"Biryani, Chinese, South Indian, North Indian",350,Delivery,Banashankari
Ruchi Maayaka,No,No,3.3/5,8,Banashankari,Delivery,,South Indian,100,Delivery,Banashankari
Mohitesh Hut Roll,No,No,,0,Banashankari,Quick Bites,,"Rolls, North Indian",150,Delivery,Banashankari
Sri Basaveshwar Jolada Rotti Oota,No,No,,0,Banashankari,Quick Bites,,South Indian,150,Delivery,Banashankari
Roll Magic Fast Food,No,No,NEW,0,Banashankari,"Takeaway, Delivery",,"Biryani, Rolls, Chinese",200,Delivery,Banashankari
Foodlieious Multi Cuisine,No,No,NEW,0,Banashankari,Quick Bites,,North Indian,100,Delivery,Banashankari
Thanishka Nati And Karavali Style,No,No,NEW,0,Banashankari,Quick Bites,,"Biryani, Fast Food",400,Delivery,Banashankari
Swathi Cool Point,No,No,,0,Banashankari,Beverage Shop,,"Beverages, Juices",200,Delivery,Banashankari
Kaumudis Juoice,No,No,,0,Banashankari,"Beverage Shop, Quick Bites",,"Beverages, Fast Food, Juices",150,Delivery,Banashankari
Amma - Manae,No,No,,0,Banashankari,"Takeaway, Delivery",,South Indian,400,Delivery,Banashankari
Sri Sai Tiffannies,No,No,,0,Banashankari,Quick Bites,,"South Indian, Chinese",150,Delivery,Banashankari
Hotel Andhra Speices,No,No,,0,Banashankari,Quick Bites,,Andhra,250,Delivery,Banashankari
Sri Murari Family Restaurant,No,No,,0,Banashankari,Quick Bites,,Biryani,250,Delivery,Banashankari
Aramane Donne Biriyani,No,No,,0,Banashankari,Quick Bites,,"South Indian, Biryani",150,Delivery,Banashankari
Darkolates,No,No,,0,Banashankari,Confectionery,,Desserts,200,Delivery,Banashankari
Swaada Healthy Kitchen,No,No,,0,Banashankari,"Quick Bites, Beverage Shop",,"Healthy Food, Juices, Sandwich",350,Delivery,Banashankari
Gawdaru Mane Beriyani,No,No,,0,Banashankari,Quick Bites,,"South Indian, Biryani",300,Delivery,Banashankari
Melting Melodies,No,No,NEW,0,Banashankari,"Takeaway, Delivery",,"Pizza, Fast Food",100,Delivery,Banashankari
New Indraprasta,No,No,NEW,0,Banashankari,Quick Bites,,"South Indian, Beverages",150,Delivery,Banashankari
Anna Kuteera,Yes,No,4.0/5,771,Banashankari,Casual Dining,"Panner Tikka, Kulfi, Coffee, Pav Bhaji, Carrot Halwa, Fried Rice, Set Dosa","South Indian, North Indian, Chinese",450,Delivery,Banashankari
Darbar,No,No,3.0/5,98,Banashankari,Bar,"Paneer Tikka, Dal Kichadi, French Fries","North Indian, Chinese",800,Delivery,Banashankari
Vijayalakshmi,Yes,No,3.9/5,47,Basavanagudi,Quick Bites,,South Indian,200,Delivery,Banashankari
Sri Udupi Food Hub,Yes,Yes,4.1/5,175,Jayanagar,Casual Dining,"Filter Coffee, Masala Dosa, Idli, Vada","South Indian, North Indian, Chinese, Beverages",500,Delivery,Banashankari
Udupi Upahar,Yes,No,3.8/5,58,Banashankari,Quick Bites,,"South Indian, Chinese, North Indian, Juices",300,Delivery,Banashankari
House Of Kebabs,Yes,No,3.8/5,540,Basavanagudi,Casual Dining,"Rolls, Shawarma, Butter Chicken, Mutton Biryani, Lahori Chicken, Chicken Roll, Grape Juice","North Indian, Kebab, Biryani, Chinese",650,Delivery,Banashankari
Roll N Rock,Yes,No,3.8/5,124,Kumaraswamy Layout,Quick Bites,"Rolls, Paratha, Chicken Biryani","Chinese, North Indian, Mughlai, Rolls",400,Delivery,Banashankari
BOX8- Desi Meals,Yes,No,4.1/5,340,Banashankari,"Takeaway, Delivery","Paratha, Mughlai Chicken, Masala Lemonade, Butter Chicken, Rajma, Sandwich, Salad","North Indian, Mughlai, Fast Food",500,Delivery,Banashankari
KFC,Yes,No,3.8/5,505,Banashankari,Quick Bites,"Burgers, French Fries","Burger, Fast Food",450,Delivery,Banashankari
Bitez,No,No,NEW,0,Banashankari,Quick Bites,,Fast Food,100,Delivery,Banashankari
Roll Over,Yes,No,4.1/5,438,Jayanagar,Dessert Parlor,"Rolls, Ice Cream Roll, Paan Ice Cream, Coffee, Vanilla Ice Cream, Chocolate Icecreams, Mississippi Mudpie","Desserts, Ice Cream, Beverages, Fast Food, Sandwich",500,Delivery,Banashankari
Imperial Restaurant,Yes,No,3.7/5,264,Mysore Road,Casual Dining,"Kadhai Paneer, Ghee Rice, Chicken Grill, Shawarma, Paratha, Biryani, Butter Chicken","North Indian, Chinese, Biryani, Beverages",750,Delivery,Banashankari
Lassi Shop,Yes,No,3.9/5,169,Kumaraswamy Layout,Beverage Shop,,"Beverages, Juices, Ice Cream",150,Delivery,Banashankari
The Fortuna,Yes,No,3.0/5,67,Kumaraswamy Layout,Quick Bites,,"North Indian, Chinese",250,Delivery,Banashankari
Wahab,Yes,No,3.7/5,97,Jayanagar,Quick Bites,"Chicken Biryani, Rolls","North Indian, Mughlai, Chinese",350,Delivery,Banashankari
Al Diwan Biryanis And More,Yes,No,3.3/5,12,Basavanagudi,"Takeaway, Delivery",,Biryani,300,Delivery,Banashankari
New Gowda's Fried Chicken,Yes,No,3.3/5,12,Banashankari,Quick Bites,,Biryani,300,Delivery,Banashankari
Canton,Yes,No,3.6/5,195,Jayanagar,Casual Dining,"Roast Pork, Tai Pai Chicken, Beer, Sweet Corn Chicken Soup, Masala Peanuts, Chinese Chop Suey, Chicken Lollipop","Chinese, Seafood, Biryani",800,Delivery,Banashankari
Diabetics Dezire Sugarless Sweets and Bakes,Yes,No,3.3/5,13,Basavanagudi,"Dessert Parlor, Sweet Shop",,"Desserts, Mithai",300,Delivery,Banashankari
The Blue Wagon - Kitchen,Yes,No,4.6/5,228,Jayanagar,Cafe,"Pizza, Nachos, Garlic Maggi, Burgers, Cheese Maggi, Bruschetta Bites, Sandwich","Cafe, Beverages",400,Delivery,Banashankari
HOT COFFEE,Yes,No,4.1/5,70,Basavanagudi,Quick Bites,,"South Indian, Chinese",150,Delivery,Banashankari
Patio 805,Yes,Yes,4.1/5,364,Jayanagar,Casual Dining,"Noodles, Laksa Soup, Coffee, Veg Fritters, Vegetarian, Babycorn Manchurian, Mango Salad","Thai, Vietnamese, Asian, Chinese",1200,Delivery,Banashankari
Lassi Corner,Yes,No,3.7/5,107,Basavanagudi,Beverage Shop,Lassi,"Beverages, Ice Cream",150,Delivery,Banashankari
Sagar Deluxe,Yes,No,3.2/5,167,Kumaraswamy Layout,Quick Bites,"Coffee, Chaat","South Indian, North Indian, Chinese, Juices",300,Delivery,Banashankari
Kanti Sweets,Yes,No,4.0/5,115,Banashankari,Sweet Shop,,"Mithai, Street Food",400,Delivery,Banashankari
Vegetalia,Yes,No,3.7/5,27,Banashankari,"Takeaway, Delivery",,"Italian, Pizza",400,Delivery,Banashankari
Aramane Donne Biryani,Yes,No,3.5/5,57,Banashankari,Quick Bites,,Biryani,200,Delivery,Banashankari
Ande Ka Funda,Yes,No,3.8/5,120,Banashankari,Quick Bites,,"North Indian, Fast Food, Rolls",250,Delivery,Banashankari
Cake Ghar,Yes,No,3.8/5,15,Basavanagudi,Bakery,,Bakery,400,Delivery,Banashankari
Energy Addaa,Yes,No,4.2/5,64,Basavanagudi,Quick Bites,"Pizza, Nachos, Salads, Peri Peri Fries, Brownie, Pasta Alfredo, Spaghetti","Salad, Healthy Food, Sandwich, Juices, Burger, Desserts, Pizza",500,Delivery,Banashankari
Bhattara Bhojana,Yes,No,3.6/5,66,Banashankari,Quick Bites,,South Indian,150,Delivery,Banashankari
Tandoori Knight,Yes,No,3.0/5,290,Banashankari,Quick Bites,"Chicken Grill, Biryani, Roti, Chicken Masala","North Indian, Chinese, Biryani, Kebab",450,Delivery,Banashankari
Dev Sagar - Food Street,Yes,No,4.1/5,233,Basavanagudi,Quick Bites,"Chaat, Pav Bhaji, Dabeli, Vada Pav, Tawa Pulav, Panipuri, Malpua",Street Food,200,Delivery,Banashankari
Mitraa Da Pizza,Yes,No,3.8/5,115,Kumaraswamy Layout,Quick Bites,"Pizza, Burgers","Fast Food, Pizza",250,Delivery,Banashankari
Paradise Premium,Yes,No,3.1/5,119,Banashankari,Casual Dining,,"Biryani, Andhra, Hyderabadi, North Indian",700,Delivery,Banashankari
Grazers,Yes,Yes,3.9/5,291,Jayanagar,Cafe,"Burgers, Panneer Butter Masala, Pasta, Hot Dog, Fries, Cheesy Pizza, Potato Wedges","Cafe, Burger, Continental, Italian, Desserts",650,Delivery,Banashankari
Shakes Theory,Yes,No,4.5/5,155,Jayanagar,Beverage Shop,"Sandwiches, Thick Shakes, Paan Shake, Brownie Bomb, Fries, Spinach Corn Sandwich, Paneer Peri Peri","Beverages, Sandwich",300,Delivery,Banashankari
@Italy,Yes,No,4.1/5,305,Kumaraswamy Layout,Casual Dining,"Pizza, Pasta, Spinach Salsa, Garlic Bread, Lasagne, Bruschettas, Chocolate Bomb",Italian,700,Delivery,Banashankari
Chilli Flakes,Yes,No,3.6/5,46,Banashankari,Quick Bites,,"Fast Food, Italian, Beverages",500,Delivery,Banashankari
Calcutta Cafe,Yes,No,3.5/5,45,Kumaraswamy Layout,Quick Bites,,"Bengali, Chinese, Sandwich",350,Delivery,Banashankari
Old Mumbai Ice Cream,Yes,No,3.9/5,38,Banashankari,Dessert Parlor,Friendly Staff,Ice Cream,150,Delivery,Banashankari
Donne Biriyani House,Yes,No,3.9/5,441,Banashankari,Quick Bites,Biryani,"South Indian, North Indian, Chinese, Biryani",400,Delivery,Banashankari
By 2 Coffee,Yes,No,3.9/5,25,Basavanagudi,Quick Bites,,South Indian,100,Delivery,Banashankari
Kedia's Fun Food,Yes,No,4.3/5,630,Jayanagar,Quick Bites,"Paratha, Vada Pav, Chaat, Pav Bhaji, Panipuri, Masala Poori, Dhokla","North Indian, Street Food, Juices",200,Delivery,Banashankari
Davangere Butter Dosa Hotel,Yes,No,3.8/5,25,Kumaraswamy Layout,Quick Bites,,South Indian,150,Delivery,Banashankari
Just Shawarma,Yes,No,3.9/5,160,Kumaraswamy Layout,Quick Bites,"Whole Meat Shawarma, Fries",Arabian,300,Delivery,Banashankari
Mini Punjabi Dhaba,Yes,No,4.2/5,287,Banashankari,Quick Bites,"Panneer Butter Masala, Lassi, Paratha, Jeera Rice, Paneer Parantha, Bhindi Fry, Veg Kolhapuri",North Indian,350,Delivery,Banashankari
Mulabagilu Dosa,Yes,No,3.6/5,11,Basavanagudi,Quick Bites,,South Indian,100,Delivery,Banashankari
CafÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚Â‚ÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚Â© Down The Alley,Yes,No,4.1/5,402,Banashankari,Cafe,"Waffles, Pasta, Crispy Chicken, Honey Chilli Chicken, Sandwich, Coffee, Crepe",Cafe,500,Delivery,Banashankari
Gokul Veg,Yes,No,3.8/5,469,Basavanagudi,Casual Dining,"Masala Papad, Paneer Satay, Vegetable Biryani, Panneer Butter Masala, Tomato Soup, Manchow Soup, Roti","North Indian, Chinese, Beverages",750,Delivery,Banashankari
Olive - Era,Yes,No,3.3/5,511,Kumaraswamy Layout,Casual Dining,"Shawarma, Biryani, Bbq Chicken, Chicken Grill, Raita","BBQ, Arabian, Rolls, Chinese, North Indian, Juices, Kebab, Desserts",550,Delivery,Banashankari
Udupi Ruchi,Yes,No,3.9/5,57,Banashankari,Quick Bites,,"South Indian, North Indian, Chinese, Street Food",200,Delivery,Banashankari
Madhappa Hindu Military Hotel,Yes,No,3.4/5,14,Banashankari,Quick Bites,,South Indian,300,Delivery,Banashankari
Gama Gama,Yes,No,3.9/5,264,Banashankari,Quick Bites,"Jowar Roti, Buttermilk, Sabudana Vada, Thali, Mirchi Bajji, Brinjal Curry",South Indian,200,Delivery,Banashankari
The Vintage Cafe,Yes,No,3.0/5,62,Banashankari,Cafe,"Burgers, Caramel Milkshake, Iced Coffee, Iced Tea","Cafe, French, North Indian",400,Delivery,Banashankari
Pizza Hut,Yes,No,3.8/5,693,Banashankari,Casual Dining,"Supreme Pizza, Potato Wedges, Masala Lemonade, Tandoori Paneer, Exotic Garlic Bread","Pizza, Fast Food",750,Delivery,Banashankari
Mangalore Pearl,Yes,No,3.8/5,242,Jayanagar,Casual Dining,"Neer Dosa, Sea Food, Ghee Rice, Marwai Sukka, Egg Biryani, Kori Roti, Thai Fish","Mangalorean, Seafood, Chinese, Biryani",650,Delivery,Banashankari
Asha Sweets Centre,Yes,No,3.6/5,27,Basavanagudi,Dessert Parlor,,Fast Food,250,Delivery,Banashankari
Twiststick House,Yes,No,4.1/5,163,Basavanagudi,Quick Bites,"White Pasta, Noodles, Babycorn Manchurian, Pizza, Veg Momos, Fry Momos, Tawa Pulav","Continental, Fast Food, Street Food, Momos",500,Delivery,Banashankari
Cool Corner,Yes,No,4.2/5,191,Basavanagudi,Quick Bites,"Masala Dosa, Sandwiches, Coffee, Onion Dosa, Rava Dosa, Chaat, Sandwich","Street Food, Fast Food",250,Delivery,Banashankari
Pizza Mane,Yes,No,3.5/5,32,Banashankari,Quick Bites,"French Fries, Burgers","Pizza, Sandwich, Burger, Fast Food",150,Delivery,Banashankari
Dal Tadkaa,Yes,No,2.5/5,247,Banashankari,Casual Dining,"Paratha, Boondi Raita, Roti, Kulfi, Panneer Butter Masala, Sweet Lassi, Dal Tadka",North Indian,500,,
" """"RATED\n  The buffet is inr 330 pp all incl. But the quality is very mediocre", so is the variety. Daal baati didn't feel like one... I could eat, but at that price range," you can definitely hang in domino's and get a d cheese burst full in your mouth :p"""")", ('Rated 2.5', they had a board that said spl buffet. There was nothing special about it. The usual north indian thali, only served buffet style, which cost us 340/head. I felt it wasn't worth that much. Food was ordinary. Service isn't very good (when u ask for salt," the server says it is on the other table madam please take it ? )\nFood: 2.5/5\nAmbiance: 3/5\nService: 2/5\nPrice: 2/5"""")", ('Rated 3.5', my expression was it has to be Veg restaurant but it was not at all only Veg. Food was spicy and absolute pleasure to eat.'), ('Rated 2.5'
Chutney Chang,Yes,Yes,4.1/5,2339,Jayanagar,Casual Dining,"Veg Momos, Brownie Chocolate, Palak Chaat, Mutton Biryani, Dahipuri, Fish, Sea Food","North Indian, Chinese, BBQ",1500,Delivery,Banashankari
Mystique Palate,Yes,No,4.1/5,337,Jayanagar,Quick Bites,"Noodles, Pasta, Schezwan Momos, Chicken Momo, Teriyaki Chicken, Thukpa, Fries","Chinese, Fast Food",300,Delivery,Banashankari
Thamboola,Yes,No,3.9/5,135,Banashankari,Casual Dining,"Spring Roll, Manchow Soup, Babycorn Manchurian, Mint Cooler, Roti, Panneer Butter Masala","North Indian, Chinese, Continental",800,Delivery,Banashankari
Castle Rock,Yes,No,3.6/5,172,Uttarahalli,Casual Dining,Biryani,"North Indian, Chinese",700,Delivery,Banashankari
Vietnamese Kitchen,Yes,No,3.6/5,105,Banashankari,Casual Dining,"Pho, Papaya Salad, Coffee, Veg Momos, Rolls",Vietnamese,700,Delivery,Banashankari
Smacznego,Yes,No,4.2/5,504,Banashankari,Cafe,"Waffles, Pasta, Coleslaw Sandwich, Choco Waffle, Tacos, Momos, Cheese Nachos","Cafe, Mexican, Italian, Momos, Beverages",550,Delivery,Banashankari
C Corner,Yes,No,3.2/5,36,Kumaraswamy Layout,Quick Bites,,"Fast Food, Street Food",200,Delivery,Banashankari
Paratha Merchant,Yes,No,3.1/5,39,Kumaraswamy Layout,Quick Bites,,North Indian,300,Delivery,Banashankari
North Rasoe,Yes,No,3.1/5,5,Kumaraswamy Layout,Casual Dining,,"North Indian, Chinese, Biryani, Kebab",500,Delivery,Banashankari
Inchara Restaurant,Yes,No,,0,Basavanagudi,Quick Bites,,"North Indian, Chinese",300,Delivery,Banashankari
Toscano,Yes,Yes,4.3/5,1129,Jayanagar,Casual Dining,"Pizza, Pasta, Salads, Calamari, Ravioli, Pumpkin Soup, Wine","Italian, Salad",1300,Delivery,Banashankari
Lord Of The Kitchen,Yes,No,3.9/5,56,Kumaraswamy Layout,Quick Bites,,"North Indian, Chinese",350,Delivery,Banashankari
Stoned Monkey,Yes,No,4.3/5,860,Banashankari,Dessert Parlor,"Nachos, Cup Cake, Hot Chocolate Fudge, Salsa, Cheesy Garlic Bread, Waffles, Tiramisu","Desserts, Ice Cream",500,Delivery,Banashankari
Central Jail Restaurant,Yes,No,3.8/5,412,Jayanagar,Casual Dining,"Lime Soda, Manchow Soup, Biryani, Lemon Chicken, Tomato Soup, Butter Naan, Chilli Chicken","Andhra, Seafood, North Indian, Chinese",700,Delivery,Banashankari
Bella,Yes,Yes,3.9/5,142,Jayanagar,Casual Dining,"Murgh Ghee Roast, Fish Fry, Ghee Roast Paneer, Neer Dosa, Appam, Sea Food, Chicken Sukha","Mangalorean, Seafood, South Indian",1000,Delivery,Banashankari
Vennela Andhra Meals,Yes,No,3.0/5,23,Jayanagar,Quick Bites,,Andhra,400,Delivery,Banashankari
New Prashanth Hotel,Yes,No,3.6/5,143,Jayanagar,Casual Dining,"Ragi Mudde, Lemon Chicken, Chilli Chicken, Chicken Curry, Mutton Chops, Mutton Biryani","South Indian, Biryani, Chinese, North Indian",750,Delivery,Banashankari
The Grillo,Yes,Yes,2.8/5,80,Jayanagar,Casual Dining,,"South Indian, Arabian, Chinese, North Indian, Seafood, Mangalorean",500,Delivery,Banashankari
Re Malnad Nati Style Hotel,Yes,No,3.6/5,16,JP Nagar,Casual Dining,,South Indian,400,Delivery,Banashankari
Karma Kaapi,Yes,No,4.4/5,181,Jayanagar,Beverage Shop,"Pasta, Potato Fries, Potato Wedges, Hot Chocolate, Chaat, Filter Coffee, Americano","Beverages, Tea",250,Delivery,Banashankari
Tiwari's,Yes,No,3.8/5,70,Jayanagar,Quick Bites,"Sweet Lassi, Gulab Jamun, Palak Paneer Paratha, Paneer Parantha","North Indian, Street Food",200,Delivery,Banashankari
Pizza Stop,Yes,No,3.8/5,164,Basavanagudi,Quick Bites,"Pizza, White Sauce Pasta, Masala Garlic Bread","Pizza, Italian",600,Delivery,Banashankari
Biggies Burger 'n' More,Yes,No,3.6/5,58,Kumaraswamy Layout,Quick Bites,"Burgers, Fries, Mojito, Chicken Burger","Cafe, Burger, Beverages",650,Delivery,Banashankari
Srinathji's Cafe,No,No,3.8/5,148,Basavanagudi,"Casual Dining, Cafe","Paratha, Sandwich, Chilli Idli, Noodles, Sandwiches, Lime Soda","North Indian, Cafe, Chinese, Fast Food",550,Delivery,Banashankari
Kollapuri's,No,No,3.9/5,206,Basavanagudi,Quick Bites,"Chicken Biryani, Mutton Biryani, Egg Biryani, Chicken Fry, Mutton Fry","South Indian, Mangalorean",450,Delivery,Banashankari
Sugar Stars Co,No,No,,0,Basavanagudi,Bakery,,"Bakery, Desserts",300,Delivery,Banashankari
Bombay Kulfis,No,No,,0,JP Nagar,Dessert Parlor,,Ice Cream,200,Delivery,Banashankari
Kadamba Classic,No,No,3.6/5,16,Mysore Road,Quick Bites,,South Indian,300,Delivery,Banashankari
RS Shiv Sagar,No,No,3.7/5,217,Basavanagudi,Casual Dining,"Chaat, Brownie, Onion Rings, Tomato Soup, Paneer Manchurian, Thali, Faluda","North Indian, Chinese, South Indian, Fast Food, Juices",450,Delivery,Banashankari
Kholi Mane,No,No,3.6/5,46,Basavanagudi,Quick Bites,,"Andhra, South Indian, Biryani, North Indian",450,Delivery,Banashankari
Harshi Super Sandwich,No,No,3.8/5,148,Basavanagudi,Quick Bites,"Sandwiches, Chocolate Sandwich, Chaat, Veg Cheese Sandwich, Chilli Cheese, Corn Sandwich","Fast Food, Street Food",150,Delivery,Banashankari
Cake Yard,No,No,3.4/5,30,Basavanagudi,Dessert Parlor,,Desserts,250,Delivery,Banashankari
Rosewood International Hotel - Bar & Restaurant,No,No,3.6/5,8,Mysore Road,Casual Dining,,"North Indian, South Indian, Andhra, Chinese",800,Delivery,Banashankari
Sri Udupi Veg,No,No,3.3/5,4,Jayanagar,Quick Bites,,South Indian,250,Delivery,Banashankari
Cake Art,No,No,3.5/5,15,Basavanagudi,"Bakery, Quick Bites",,Bakery,400,Delivery,Banashankari
Aahar Cafe,No,No,,0,Basavanagudi,Quick Bites,,South Indian,100,Delivery,Banashankari
Akash Gowdru Biryani Center,No,No,,0,Uttarahalli,Quick Bites,,"North Indian, Chinese",300,Delivery,Banashankari
